"name","comarca","ine","lon","lat","cp"
"Perales del Alfambra","Comunidad de Teruel","44182","-1.0017879","40.6347987","44163"
"Peralta de Alcofea","Somontano de Barbastro","22174","-0.0670857","41.9314097","22210"
"Peralta de Calasanz","La Llitera","22175","0.3936722","42.0181122",NA
"Peraltilla","Somontano de Barbastro","22176","-0.0180724","42.0552942","22311"
"Perarrúa","La Ribagorza","22177","0.3515962","42.2674479","22460"
"Perdiguera","Los Monegros","50206","-0.6328539","41.7520683","50161"
"Pertusa","Plana de Uesca","22178","-0.1269785","42.0023077","22132"
"Peñalba","Los Monegros","22172","-0.0367367","41.5018984","22592"
"Peñarroya de Tastavins","Matarranya","44179","0.0559939","40.7361186",NA
"Peñas de Riglos (Las)","Plana de Uesca","22173","-0.7264394","42.3485414","22808"
"Piedratajada","Cinco Villas","50207","-0.80649","42.1201676","50616"
"Pina de Ebro","Ribera Baja del Ebro","50208","-0.5269639","41.4888263","50750"
"Pinseque","Ribera Alta del Ebro","50209","-1.0999358","41.7373609","50298"
"Pintanos (Los)","Cinco Villas","50210","-1.0011902","42.526988",NA
"Piracés","Plana de Uesca","22181","-0.3189668","42.0053418","22268"
"Pitarque","Maestrazgo","44183","-0.593482","40.6480771","44555"
"Plan","Sobrarbe","22182","0.3374829","42.5807918","22367"
"Plasencia de Jalón","Valdejalón","50211","-1.2307607","41.6812583","50296"
"Pleitas","Ribera Alta del Ebro","50212","-1.2020702","41.7116037","50297"
"Plenas","Campo de Belchite","50213","-0.9647439","41.1128326","50143"
"Plou","Cuencas Mineras","44184","-0.8550036","40.992748","44213"
"Pobo (El)","Comunidad de Teruel","44185","-0.8609602","40.5076116","44155"
"Poleñino","Los Monegros","22184","-0.3095652","41.8702148","22216"
"Pomer","Aranda","50214","-1.8409774","41.6382447","50259"
"Portellada (La)","Matarranya","44187","0.0565776","40.8822681","44589"
"Pozondón","Sierra de Albarracín","44189","-1.4718706","40.5612144","44368"
"Pozuel de Ariza","Comunidad de Calatayud","50215","-2.1560753","41.3522636",NA
"Pozuel del Campo","Jiloca","44190","-1.5069455","40.77129","44315"
"Pozuelo de Aragón","Campo de Borja","50216","-1.422935","41.7630628","50529"
"Pozán de Vero","Somontano de Barbastro","22186","0.0329448","42.0815757","22313"
"Pradilla de Ebro","Ribera Alta del Ebro","50217","-1.2632303","41.8612258","50668"
"Puebla de Albortón","Campo de Belchite","50218","-0.8526212","41.3836473","50137"
"Puebla de Alfindén (La)","D.C. Zaragoza","50219","-0.7497163","41.6324217","50171"
"Puebla de Castro (La)","La Ribagorza","22187","0.2753304","41.7689477",NA
"Puebla de Híjar (La)","Bajo Martín","44191","-0.438595","41.2244",NA
"Puebla de Valverde (La)","Gúdar-Javalambre","44192","-0.9301201","40.2253186","44450"
"Puendeluna","Cinco Villas","50220","-0.7575886","42.1530802","50614"
"Puente de Montañana","La Ribagorza","22188","0.695692","42.1508466",NA
"Puente la Reina de Jaca","La Jacetania","22902","-0.7871602","42.5586836","22753"
"Puertomingalvo","Gúdar-Javalambre","44193","-0.459967","40.2648619","44411"
"Pueyo de Araguás (El)","Sobrarbe","22190","0.161398","42.47327","22338"
"Pueyo de Santa Cruz","Cinca Medio","22193","0.1562283","41.857177","22416"
"Purujosa","Aranda","50221","-1.7662046","41.682242","50268"
"Puértolas","Sobrarbe","22189","0.1322418","42.5475135",NA
"Quicena","Plana de Uesca","22195","-0.3598313","42.1471369","22191"
"Quinto","Ribera Baja del Ebro","50222","-0.4970165","41.4249127","50770"
"Remolinos","Ribera Alta del Ebro","50223","-1.177301","41.8379205","50637"
"Retascón","Campo de Daroca","50224","-1.3809918","41.144781","50367"
"Ricla","Valdejalón","50225","-1.4036179","41.506493","50270"
"Rillo","Comunidad de Teruel","44195","-0.9970062","40.7223398","44712"
"Riodeva","Comunidad de Teruel","44196","-1.1463977","40.1181811","44133"
"Robres","Los Monegros","22197","-0.4608517","41.867847","22252"
"Romanos","Campo de Daroca","50227","-1.2752624","41.1261833","50491"
"Royuela","Sierra de Albarracín","44198","-1.5117856","40.3774574","44125"
"Rubiales","Sierra de Albarracín","44199","-1.2719532","40.276048","44121"
"Rubielos de Mora","Gúdar-Javalambre","44201","-0.6541841","40.1901266","44415"
"Rubielos de la Cérida","Jiloca","44200","-1.2115314","40.7696927","44166"
"Rueda de Jalón","Valdejalón","50228","-1.274059","41.6334336","50295"
"Ruesca","Comunidad de Calatayud","50229","-1.4822716","41.2824197","50331"
"Ráfales","Matarranya","44194","0.0201134","40.8370831","44589"
"Ródenas","Sierra de Albarracín","44197","-1.5154161","40.640642","44310"
"Sabiñánigo","Alto Gállego","22199","-0.3638114","42.5193594","22600"
"Sahún","La Ribagorza","22200","0.4652754","42.5760582","22468"
"Salas Altas","Somontano de Barbastro","22201","0.0717569","42.1158635","22314"
"Salas Bajas","Somontano de Barbastro","22202","0.0843136","42.1007139","22314"
"Salcedillo","Cuencas Mineras","44203","-1.0044779","40.9622163","44793"
"Saldón","Sierra de Albarracín","44204","-1.4271618","40.3262502","44122"
"Salillas","Plana de Uesca","22203","-0.2235868","41.9934909","22110"
"Salillas de Jalón","Valdejalón","50231","-1.3240277","41.5673795",NA
"Sallent de Gállego","Alto Gállego","22204","-0.3321178","42.7716575","22640"
"Salvatierra de Esca","La Jacetania","50232","-1.004179","42.6683868","50684"
"Samper de Calanda","Bajo Martín","44205","-0.3899502","41.1901169","44520"
"Samper del Salz","Campo de Belchite","50233","-0.8248722","41.2346969","50134"
"San Agustín","Gúdar-Javalambre","44206","-0.6924291","40.0590063","44480"
"San Esteban de Litera","La Llitera","22205","0.3269012","41.9052276","22512"
"San Juan de Plan","Sobrarbe","22207","0.345715","42.588729","22367"
"San Martín de la Virgen de Moncayo","Tarazona y el Moncayo","50234","-1.7919267","41.8371455","50584"
"San Martín del Río","Jiloca","44207","-1.3873259","41.0657298","44390"
"San Mateo de Gállego","D.C. Zaragoza","50235","-0.7651651","41.8302127","50840"
"San Miguel del Cinca","Cinca Medio","22903","0.0933686","41.820289",NA
"Sangarrén","Los Monegros","22206","-0.433141","42.0185896","22100"
"Santa Cilia","La Jacetania","22208","-0.714801","42.5600828","22791"
"Santa Cruz de Grío","Valdejalón","50236","-1.4307851","41.3704169","50324"
"Santa Cruz de Moncayo","Tarazona y el Moncayo","50237","-1.7572283","41.8823688","50513"
"Santa Cruz de Nogueras","Jiloca","44208","-1.0894516","41.1145565","44497"
"Santa Cruz de la Serós","La Jacetania","22209","-0.6740433","42.522933","22792"
"Santa Eulalia","Comunidad de Teruel","44209","-1.3143906","40.5675532","44360"
"Santa Eulalia de Gállego","Plana de Uesca","50238","-0.7610053","42.2861061","22806"
"Santa María de Dulcis","Somontano de Barbastro","22906","0.0233208","42.1226802",NA
"Santaliestra y San Quílez","La Ribagorza","22212","0.3465971","42.3244261",NA
"Santed","Campo de Daroca","50239","-1.508458","41.0324035","50373"
"Sariñena","Los Monegros","22213","-0.1576913","41.7916307","22200"
"Sarrión","Gúdar-Javalambre","44210","-0.811547","40.1411609","44460"
"Saviñán","Comunidad de Calatayud","50241","-1.5656694","41.4443981","50299"
"Secastilla","La Ribagorza","22214","0.2675794","42.1813425","22439"
"Sediles","Comunidad de Calatayud","50242","-1.5308491","41.3462691","50334"
"Segura de los Baños","Cuencas Mineras","44211","-0.9504133","40.9402704","44793"
"Seira","La Ribagorza","22215","0.4300469","42.4803994","22463"
"Sena","Los Monegros","22217","-0.0449053","41.7164582","22230"
"Seno","Bajo Aragón","44212","-0.3380708","40.8125561","44561"
"Senés de Alcubierre","Los Monegros","22218","-0.4899098","41.9072864","22253"
"Sesa","Plana de Uesca","22220","-0.2449903","41.995615","22110"
"Sestrica","Aranda","50243","-1.5953646","41.4858807","50248"
"Sesué","La Ribagorza","22221","0.4720594","42.5506043","22467"
"Sierra de Luna","Cinco Villas","50244","-0.9095388","42.0476839","50612"
"Sigüés","La Jacetania","50245","-1.0113531","42.6304036","50682"
"Singra","Jiloca","44213","-1.3113794","40.6558167","44382"
"Sisamón","Comunidad de Calatayud","50246","-2.0046718","41.1711653","50227"
"Siétamo","Plana de Uesca","22222","-0.2813739","42.1303701","22120"
"Sobradiel","Ribera Alta del Ebro","50247","-1.0376296","41.7390709","50629"
"Sopeira","La Ribagorza","22223","0.7464491","42.31668","22583"
"Sos del Rey Católico","Cinco Villas","50248","-1.2175396","42.4936258","50680"
"Sotonera (La)","Plana de Uesca","22904","-0.5446912","42.2546799",NA
"Sádaba","Cinco Villas","50230","-1.2710508","42.2822195","50670"
"Sástago","Ribera Baja del Ebro","50240","-0.3460225","41.3226736","50780"
"Tabuenca","Campo de Borja","50249","-1.5432601","41.6949364","50547"
"Talamantes","Campo de Borja","50250","-1.6788023","41.7306976","50546"
"Tamarite de Litera","La Llitera","22225","0.4213552","41.8673774","22550"
"Tarazona","Tarazona y el Moncayo","50251","-1.7222535","41.9042972","50500"
"Tardienta","Los Monegros","22226","-0.5374372","41.9797955","22240"
"Tauste","Cinco Villas","50252","-1.2578169","41.9202247","50660"
"Tella-Sin","Sobrarbe","22227","0.1963364","42.5802006",NA
"Terrer","Comunidad de Calatayud","50253","-1.7161738","41.3270579","50293"
"Terriente","Sierra de Albarracín","44215","-1.5045256","40.2959264","44120"
"Teruel","Comunidad de Teruel","44216","-1.1064345","40.3456879",NA
"Tierga","Aranda","50254","-1.6050655","41.6081052","50269"
"Tierz","Plana de Uesca","22228","-0.3533607","42.1323338","22192"
"Tobed","Comunidad de Calatayud","50255","-1.3993934","41.3382239","50325"
"Tolva","La Ribagorza","22229","0.564496","42.1148114","22585"
"Toril y Masegoso","Sierra de Albarracín","44217","-1.5111806","40.2275199",NA
"Torla","Sobrarbe","22230","-0.1126542","42.6286775","22376"
"Tormón","Comunidad de Teruel","44218","-1.3532537","40.2023081","44134"
"Tornos","Jiloca","44219","-1.4344087","40.9617866","44230"
"Torralba de Aragón","Los Monegros","22232","-0.5107207","41.9343277","22254"
"Torralba de Ribota","Comunidad de Calatayud","50257","-1.6839656","41.417084","50311"
"Torralba de los Frailes","Campo de Daroca","50256","-1.6608876","41.0369306","50374"
"Torralba de los Sisones","Jiloca","44220","-1.4591782","40.8901439","44359"
"Torralbilla","Campo de Daroca","50258","-1.3378849","41.2097078","50368"
"Torre de Arcas","Matarranya","44223","-0.0679615","40.7516306","44653"
"Torre de las Arcas","Cuencas Mineras","44224","-0.7182428","40.8408648","44709"
"Torre del Compte","Matarranya","44225","0.109147","40.9352836","44597"
"Torre la Ribera","La Ribagorza","22233","0.52593","42.3721935","22483"
"Torre los Negros","Jiloca","44227","-1.0975392","40.8530641","44358"
"Torrecilla de Alcañiz","Bajo Aragón","44221","-0.0922001","40.9599133","44640"
"Torrecilla del Rebollar","Jiloca","44222","-1.0711855","40.9101741","44222"
"Torrehermosa","Comunidad de Calatayud","50259","-2.1290671","41.2373962",NA
"Torrelacárcel","Comunidad de Teruel","44226","-1.3005411","40.6140624","44382"
"Torrelapaja","Comunidad de Calatayud","50260","-1.9505489","41.5818875","50316"
"Torrellas","Tarazona y el Moncayo","50261","-1.7703131","41.8955059",NA
"Torremocha de Jiloca","Comunidad de Teruel","44228","-1.2945209","40.5887354","44381"
"Torrente de Cinca","Baix Cinca","22234","0.3354251","41.4726619","22590"
"Torres de Albarracín","Sierra de Albarracín","44229","-1.5320598","40.4278316","44111"
"Torres de Alcanadre","Somontano de Barbastro","22235","-0.1106083","41.967017","22132"
"Torres de Barbués","Los Monegros","22236","-0.4316676","41.9600649","22255"
"Torres de Berrellén","Ribera Alta del Ebro","50262","-1.0645997","41.7569772","50693"
"Torrevelilla","Bajo Aragón","44230","-0.110316","40.9024459","44641"
"Torrijas","Gúdar-Javalambre","44231","-0.9572794","40.0225156","44421"
"Torrijo de la Cañada","Comunidad de Calatayud","50263","-1.8745219","41.4723094","50217"
"Torrijo del Campo","Jiloca","44232","-1.3408979","40.8233141",NA
"Tosos","Campo de Cariñena","50264","-1.0714849","41.3157174","50154"
"Tramacastiel","Comunidad de Teruel","44234","-1.2394769","40.1895139","44133"
"Tramacastilla","Sierra de Albarracín","44235","-1.5732428","40.430464","44112"
"Tramaced","Plana de Uesca","22239","-0.2969354","41.9728835","22268"
"Trasmoz","Tarazona y el Moncayo","50265","-1.7225575","41.826404","50583"
"Trasobares","Aranda","50266","-1.641463","41.6437492","50268"
"Tronchón","Maestrazgo","44236","-0.397794","40.6206746","44141"
"Uncastillo","Cinco Villas","50267","-1.1317041","42.3599895","50678"
"Undués de Lerda","Cinco Villas","50268","-1.169498","42.5652333","50689"
"Urrea de Gaén","Bajo Martín","44237","-0.4702895","41.1605609","44593"
"Urrea de Jalón","Valdejalón","50269","-1.2343672","41.667516","50296"
"Urriés","Cinco Villas","50270","-1.1298768","42.5193411","50685"
"Used","Campo de Daroca","50271","-1.5608232","41.0553316","50374"
"Utebo","D.C. Zaragoza","50272","-0.9986738","41.7087277",NA
"Utrillas","Cuencas Mineras","44238","-0.8472614","40.8127974","44760"
"Val de San Martín","Campo de Daroca","50274","-1.4473958","41.0571216","50372"
"Valacloche","Comunidad de Teruel","44239","-1.0918478","40.1909948","44191"
"Valbona","Gúdar-Javalambre","44240","-0.810952","40.2287673","44430"
"Valdealgorfa","Bajo Aragón","44241","-0.0344032","40.9908564","44594"
"Valdecuenca","Sierra de Albarracín","44243","-1.4081445","40.2980923","44122"
"Valdehorna","Campo de Daroca","50273","-1.4235388","41.072846","50371"
"Valdelinares","Gúdar-Javalambre","44244","-0.606503","40.3917713","44413"
"Valdeltormo","Matarranya","44245","0.0834374","40.9870473","44620"
"Valderrobres","Matarranya","44246","0.1535949","40.8733331","44580"
"Valfarta","Los Monegros","22242","-0.1334115","41.5577315","22223"
"Valjunquera","Matarranya","44247","0.0250705","40.9530057","44595"
"Valle de Bardají","La Ribagorza","22243","0.4366934","42.4303807","22451"
"Valle de Hecho","La Jacetania","22901","-0.7342734","42.7248135",NA
"Valle de Lierp","La Ribagorza","22244","0.485644","42.3855951","22451"
"Vallecillo (El)","Sierra de Albarracín","44249","-1.5674869","40.2350785","44123"
"Valmadrid","Campo de Belchite","50275","-0.8844972","41.4438068","50138"
"Valpalmas","Cinco Villas","50276","-0.8553014","42.1587244","50615"
"Valtorres","Comunidad de Calatayud","50277","-1.741106","41.2984744",NA
"Veguillas de la Sierra","Comunidad de Teruel","44250","-1.4048592","40.1542949","44134"
"Velilla de Cinca","Baix Cinca","22245","0.2602438","41.5865382","22528"
"Velilla de Ebro","Ribera Baja del Ebro","50278","-0.4369722","41.3743809","50760"
"Velilla de Jiloca","Comunidad de Calatayud","50279","-1.60264","41.2741355","50343"
"Vencillón","La Llitera","22909","0.324844","41.7048033","22549"
"Vera de Moncayo","Tarazona y el Moncayo","50280","-1.6863956","41.824765","50580"
"Viacamp y Litera","La Ribagorza","22247","0.658333","42.0960818",NA
"Vicién","Plana de Uesca","22248","-0.4413932","42.0556872","22190"
"Vierlas","Tarazona y el Moncayo","50281","-1.681232","41.9275349",NA
"Villadoz","Campo de Daroca","50283","-1.287298","41.1625242","50490"
"Villafeliche","Comunidad de Calatayud","50284","-1.5105756","41.1962725","50391"
"Villafranca de Ebro","D.C. Zaragoza","50285","-0.6506283","41.575013",NA
"Villafranca del Campo","Jiloca","44251","-1.346322","40.6947269","44394"
"Villahermosa del Campo","Jiloca","44252","-1.2475937","41.1101269","44494"
"Villalba de Perejil","Comunidad de Calatayud","50286","-1.5493155","41.3275363","50333"
"Villalengua","Comunidad de Calatayud","50287","-1.8409774","41.4359579","50216"
"Villamayor de Gállego","D.C. Zaragoza","50903","-0.7711086","41.6871153","50162"
"Villanova","La Ribagorza","22249","0.4617364","42.5472755","22467"
"Villanueva de Gállego","D.C. Zaragoza","50288","-0.8246595","41.7737488","50830"
"Villanueva de Huerva","Campo de Cariñena","50290","-1.0360326","41.3530861","50153"
"Villanueva de Jiloca","Campo de Daroca","50289","-1.3933592","41.0744728","50370"
"Villanueva de Sigena","Los Monegros","22251","-0.0087436","41.7152216","22231"
"Villanueva del Rebollar de la Sierra","Cuencas Mineras","44256","-1.0077659","40.8917954","44223"
"Villanúa","La Jacetania","22250","-0.5375993","42.6794631","22870"
"Villar de los Navarros","Campo de Daroca","50291","-1.0424551","41.1587041","50156"
"Villar del Cobo","Sierra de Albarracín","44257","-1.6727287","40.3953195","44114"
"Villar del Salz","Jiloca","44258","-1.4996863","40.6814336","44311"
"Villarluengo","Maestrazgo","44260","-0.5302133","40.6483838","44559"
"Villarquemado","Comunidad de Teruel","44261","-1.2638318","40.5172748","44380"
"Villarreal de Huerva","Campo de Daroca","50292","-1.2903074","41.1895166","50490"
"Villarroya de la Sierra","Comunidad de Calatayud","50293","-1.7837062","41.4643717","50310"
"Villarroya de los Pinares","Maestrazgo","44262","-0.6684106","40.5292275","44144"
"Villarroya del Campo","Campo de Daroca","50294","-1.3255337","41.1435435","50368"
"Villastar","Comunidad de Teruel","44263","-1.1532964","40.2814363","44130"
"Villel","Comunidad de Teruel","44264","-1.188708","40.2344613","44131"
"Vilueña (La)","Comunidad de Calatayud","50282","-1.7265098","41.2723508","50219"
"Vinaceite","Bajo Martín","44265","-0.5819443","41.2662147","44591"
"Visiedo","Comunidad de Teruel","44266","-1.0981383","40.6840325","44164"
"Vistabella","Campo de Cariñena","50295","-1.1541963","41.2189111","50482"
"Vivel del Río Martín","Cuencas Mineras","44267","-0.9408623","40.8708763","44740"
"Yebra de Basa","Alto Gállego","22252","-0.2822546","42.4859194","22610"
"Yésero","Alto Gállego","22253","-0.2499764","42.6189753","22639"
"Zaida (La)","Ribera Baja del Ebro","50296","-0.4272477","41.325852","50784"
"Zaidín","Baix Cinca","22254","0.2649384","41.6039963","22530"
"Zaragoza","D.C. Zaragoza","50297","-0.8890853","41.6488226",NA
"Zoma (La)","Cuencas Mineras","44268","-0.6195282","40.7835499","44707"
"Zuera","D.C. Zaragoza","50298","-0.7901334","41.8685433","50800"
"Épila","Valdejalón","50099","-1.2674411","41.596716","50290"
